iso3,year,p2_score,yes,no,abstain,total
ARG,2015,95.54,72,0,6,78
ARG,2016,94.23,74,0,7,81
ARG,2017,93.31,84,0,10,94
ARG,2018,92.86,93,0,14,107
ARG,2019,94.12,89,0,11,100
ARG,2020,93.91,90,0,10,100
ARG,2021,93.51,76,0,10,86
ARG,2022,90.9,81,0,8,89
ARG,2023,92.25,80,0,8,88
ARG,2024,36.47,42,38,15,95
ARG,2025,21.22,42,84,29,155
AUS,2015,59.88,35,22,21,78
AUS,2016,61.73,42,20,18,80
AUS,2017,68.31,48,24,22,94
AUS,2018,68.68,54,31,21,106
AUS,2019,57.15,44,28,27,99
AUS,2020,70.42,54,27,19,100
AUS,2021,60.0,41,25,20,86
AUS,2022,67.61,50,24,15,89
AUS,2023,66.45,50,24,14,88
AUS,2024,71.8,56,22,17,95
AUS,2025,87.3,152,20,20,192
BLR,2015,59.67,59,4,8,71
BLR,2016,59.72,60,7,11,78
BLR,2017,62.59,71,6,9,86
BLR,2018,63.78,78,8,17,103
BLR,2019,58.97,74,7,14,95
BLR,2020,62.2,75,7,18,100
BLR,2021,54.13,64,9,12,85
BLR,2022,41.7,54,14,20,88
BLR,2023,43.33,59,13,15,87
BLR,2024,45.66,65,13,16,94
BLR,2025,78.97,159,12,20,191
BRA,2015,98.21,75,0,3,78
BRA,2016,97.1,76,0,4,80
BRA,2017,94.78,85,0,8,93
BRA,2018,92.16,93,0,14,107
BRA,2019,80.8,72,7,20,99
BRA,2020,83.3,77,7,16,100
BRA,2021,80.66,63,3,19,85
BRA,2022,77.51,65,2,21,88
BRA,2023,92.07,78,0,8,86
BRA,2024,91.38,84,0,10,94
BRA,2025,97.06,183,0,9,192
CAN,2015,99.33,26,38,13,77
CAN,2016,98.6,35,32,14,81
CAN,2017,95.72,40,33,21,94
CAN,2018,93.79,54,33,20,107
CAN,2019,93.88,48,31,21,100
CAN,2020,94.18,53,31,16,100
CAN,2021,96.51,41,27,17,85
CAN,2022,98.41,44,30,15,89
CAN,2023,97.57,45,28,15,88
CAN,2024,96.44,51,23,21,95
CAN,2025,83.94,148,23,21,192
CHN,2015,95.55,60,6,11,77
CHN,2016,90.96,59,8,13,80
CHN,2017,95.21,78,8,8,94
CHN,2018,91.21,82,10,13,105
CHN,2019,92.38,79,11,8,98
CHN,2020,91.04,77,12,9,98
CHN,2021,93.09,67,12,7,86
CHN,2022,83.53,63,14,11,88
CHN,2023,85.81,62,11,14,87
CHN,2024,87.18,68,11,15,94
CHN,2025,97.15,167,7,18,192
FSM,2015,50.88,24,27,7,58
FSM,2016,52.98,32,26,7,65
FSM,2017,63.21,37,28,8,73
FSM,2018,65.14,42,28,8,78
FSM,2019,64.53,36,26,8,70
FSM,2020,74.4,37,19,5,61
FSM,2021,59.94,33,23,7,63
FSM,2022,63.26,36,25,6,67
FSM,2023,60.88,36,24,7,67
FSM,2024,69.19,40,26,9,75
FSM,2025,89.4,120,27,11,158
GEO,2015,62.03,42,9,24,75
GEO,2016,63.8,48,8,20,76
GEO,2017,63.99,51,9,29,89
GEO,2018,67.5,66,11,25,102
GEO,2019,58.21,54,12,32,98
GEO,2020,63.81,60,13,26,99
GEO,2021,57.37,47,9,27,83
GEO,2022,52.73,52,11,24,87
GEO,2023,47.97,46,11,28,85
GEO,2024,40.51,44,10,39,93
GEO,2025,80.12,133,11,39,183
ISR,2015,0.0,15,51,12,78
ISR,2016,0.0,19,46,14,79
ISR,2017,0.0,18,64,9,91
ISR,2018,0.0,22,64,14,100
ISR,2019,0.0,22,66,8,96
ISR,2020,0.0,23,62,14,99
ISR,2021,0.0,22,51,11,84
ISR,2022,0.0,27,47,12,86
ISR,2023,0.0,26,52,10,88
ISR,2024,0.0,24,54,15,93
ISR,2025,0.0,20,98,27,145
JPN,2015,76.28,46,9,23,78
JPN,2016,77.35,53,9,19,81
JPN,2017,80.91,59,10,24,93
JPN,2018,81.14,73,12,22,107
JPN,2019,78.44,61,11,28,100
JPN,2020,84.52,71,12,17,100
JPN,2021,76.82,54,11,19,84
JPN,2022,74.01,58,14,17,89
JPN,2023,74.87,57,13,18,88
JPN,2024,76.57,61,15,19,95
JPN,2025,90.47,156,12,24,192
KOR,2015,68.04,39,11,27,77
KOR,2016,70.13,44,14,20,78
KOR,2017,72.61,50,17,25,92
KOR,2018,75.06,61,16,29,106
KOR,2019,74.25,56,17,27,100
KOR,2020,75.48,61,16,23,100
KOR,2021,68.24,46,17,23,86
KOR,2022,68.57,54,17,18,89
KOR,2023,68.46,51,18,19,88
KOR,2024,68.82,55,21,19,95
KOR,2025,87.49,148,19,24,191
NZL,2015,77.03,52,9,17,78
NZL,2016,80.87,59,8,13,80
NZL,2017,75.31,64,10,20,94
NZL,2018,77.26,80,11,16,107
NZL,2019,76.87,67,11,22,100
NZL,2020,80.32,73,13,14,100
NZL,2021,74.35,59,12,15,86
NZL,2022,75.93,63,14,12,89
NZL,2023,78.57,61,16,10,87
NZL,2024,79.0,65,16,14,95
NZL,2025,89.72,161,16,15,192
PRY,2015,83.77,59,0,17,76
PRY,2016,79.0,60,0,20,80
PRY,2017,82.87,72,0,22,94
PRY,2018,93.78,86,0,12,98
PRY,2019,95.58,90,1,7,98
PRY,2020,95.43,91,0,8,99
PRY,2021,96.34,79,0,7,86
PRY,2022,92.93,81,0,8,89
PRY,2023,86.12,74,2,12,88
PRY,2024,70.85,62,8,24,94
PRY,2025,69.3,113,29,49,191
RUS,2015,67.54,46,17,15,78
RUS,2016,68.79,47,19,15,81
RUS,2017,71.87,64,17,13,94
RUS,2018,70.16,69,19,19,107
RUS,2019,63.0,64,20,12,96
RUS,2020,68.78,66,19,15,100
RUS,2021,61.79,52,21,13,86
RUS,2022,49.02,49,23,17,89
RUS,2023,44.71,45,31,12,88
RUS,2024,47.89,53,33,9,95
RUS,2025,77.9,142,31,19,192
SYR,2015,85.66,59,6,13,78
SYR,2016,84.15,58,10,12,80
SYR,2017,87.95,75,8,10,93
SYR,2018,85.43,79,11,12,102
SYR,2019,85.51,73,13,8,94
SYR,2020,87.25,76,11,9,96
SYR,2021,77.74,59,13,12,84
SYR,2022,70.42,55,18,14,87
SYR,2023,71.2,55,17,15,87
SYR,2024,80.47,54,13,7,74
SYR,2025,98.6,85,1,7,93
TUR,2015,71.88,48,14,14,76
TUR,2016,69.61,54,15,11,80
TUR,2017,72.74,60,16,17,93
TUR,2018,74.41,76,15,15,106
TUR,2019,72.82,67,15,17,99
TUR,2020,77.5,73,15,11,99
TUR,2021,68.93,56,15,14,85
TUR,2022,66.19,61,16,9,86
TUR,2023,61.85,55,16,14,85
TUR,2024,66.19,60,16,16,92
TUR,2025,85.96,151,16,21,188
USA,2015,99.48,18,50,10,78
USA,2016,98.81,23,47,11,81
USA,2017,97.23,18,66,10,94
USA,2018,95.73,21,76,10,107
USA,2019,96.06,20,72,8,100
USA,2020,95.63,21,69,10,100
USA,2021,97.21,24,52,9,85
USA,2022,98.56,33,47,9,89
USA,2023,97.83,30,49,9,88
USA,2024,96.61,32,51,11,94
USA,2025,88.41,10,174,8,192
