country,topic_l2,status,2024_resolution_count,2025_resolution_count,resolution_count_change,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_country_missing_count,2025_country_missing_count,country_missing_count_change,2024_unknown_vote_count,2025_unknown_vote_count,unknown_vote_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp,abs_yes_pct_change_pp
CPV,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",PRESENT_IN_BOTH,28,53,25,26,50,24,2,2,0,0,1,1,0,0,0,26,50,24,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL RELATIONS,PRESENT_IN_BOTH,28,48,20,21,45,24,7,2,-5,0,1,1,0,0,0,21,45,24,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,MAINTENANCE OF PEACE AND SECURITY,PRESENT_IN_BOTH,29,47,18,22,45,23,7,0,-7,0,2,2,0,0,0,22,45,23,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DEVELOPMENT,PRESENT_IN_BOTH,7,44,37,7,44,37,0,0,0,0,0,0,0,0,0,7,44,37,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL LAW,PRESENT_IN_BOTH,10,44,34,9,43,34,1,0,-1,0,1,1,0,0,0,9,43,34,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DISARMAMENT AND MILITARY QUESTIONS,PRESENT_IN_BOTH,41,42,1,33,41,8,8,0,-8,0,1,1,0,0,0,33,41,8,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ENVIRONMENT,PRESENT_IN_BOTH,3,25,22,3,25,22,0,0,0,0,0,0,0,0,0,3,25,22,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,SOCIAL DEVELOPMENT,PRESENT_IN_BOTH,8,24,16,7,24,17,1,0,-1,0,0,0,0,0,0,7,24,17,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,POLITICAL EVENTS AND ISSUES,PRESENT_IN_BOTH,14,21,7,13,20,7,1,1,0,0,0,0,0,0,0,13,20,7,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,HUMAN RIGHTS,PRESENT_IN_BOTH,13,19,6,12,18,6,1,0,-1,0,1,1,0,0,0,12,18,6,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,WELFARE AND SOCIAL SERVICES,PRESENT_IN_BOTH,2,14,12,1,14,13,1,0,-1,0,0,0,0,0,0,1,14,13,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",PRESENT_IN_BOTH,14,11,-3,14,10,-4,0,0,0,0,1,1,0,0,0,14,10,-4,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DEVELOPMENT FINANCE,PRESENT_IN_BOTH,2,11,9,2,11,9,0,0,0,0,0,0,0,0,0,2,11,9,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ECONOMIC CONDITIONS,PRESENT_IN_BOTH,2,11,9,2,11,9,0,0,0,0,0,0,0,0,0,2,11,9,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,RESOURCES (GENERAL),PRESENT_IN_BOTH,1,9,8,1,9,8,0,0,0,0,0,0,0,0,0,1,9,8,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DISCRIMINATION,PRESENT_IN_BOTH,6,8,2,5,8,3,1,0,-1,0,0,0,0,0,0,5,8,3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,PRESENT_IN_BOTH,5,8,3,4,8,4,1,0,-1,0,0,0,0,0,0,4,8,4,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,MARINE RESOURCES,PRESENT_IN_BOTH,3,7,4,3,7,4,0,0,0,0,0,0,0,0,0,3,7,4,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,PRESENT_IN_BOTH,1,6,5,1,6,5,0,0,0,0,0,0,0,0,0,1,6,5,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,PRESENT_IN_BOTH,3,5,2,3,5,2,0,0,0,0,0,0,0,0,0,3,5,2,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,SPACE SCIENCES,PRESENT_IN_BOTH,1,5,4,1,5,4,0,0,0,0,0,0,0,0,0,1,5,4,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,WILDLIFE,PRESENT_IN_BOTH,1,4,3,1,4,3,0,0,0,0,0,0,0,0,0,1,4,3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,WOMEN'S ADVANCEMENT,PRESENT_IN_BOTH,1,4,3,1,3,2,0,0,0,0,1,1,0,0,0,1,3,2,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ENERGY RESOURCES,PRESENT_IN_BOTH,1,3,2,1,3,2,0,0,0,0,0,0,0,0,0,1,3,2,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,NUCLEAR SCIENCE,PRESENT_IN_BOTH,4,3,-1,2,2,0,2,0,-2,0,1,1,0,0,0,2,2,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,POLLUTION,PRESENT_IN_BOTH,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,LAW OF THE SEA,PRESENT_IN_BOTH,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,WATER,PRESENT_IN_BOTH,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ECONOMIC THEORY,PRESENT_IN_BOTH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,MINERAL RESOURCES,PRESENT_IN_BOTH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,TRADE RELATED FINANCE,PRESENT_IN_BOTH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,GENERAL AND NATIONAL LAW,PRESENT_IN_BOTH,1,8,7,0,8,8,1,0,-1,0,0,0,0,0,0,0,8,8,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMPUTER SCIENCE AND TECHNOLOGY,PRESENT_IN_BOTH,1,6,5,0,6,6,1,0,-1,0,0,0,0,0,0,0,6,6,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,PUBLIC FINANCE,PRESENT_IN_BOTH,1,4,3,0,4,4,1,0,-1,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,RECOMMENDATIONS,PRESENT_IN_BOTH,1,1,0,1,0,-1,0,1,1,0,0,0,0,0,0,1,0,-1,100.00,,,0,0,0,0.00,,,0,0,0,0.00,,,
CPV,TAXATION,PRESENT_IN_BOTH,1,1,0,0,1,1,1,0,-1,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,NEW_IN_2025,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",NEW_IN_2025,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"LAND, PLANT AND SOIL RESOURCES",NEW_IN_2025,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,SPECIAL HUMANITARIAN OPERATIONS,NEW_IN_2025,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,DISEASE PREVENTION AND CONTROL,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,DISEASES AND CARRIERS OF DISEASES,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,BANKING AND INVESTMENT,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMPREHENSIVE HEALTH SERVICES,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CULTURAL DEVELOPMENT,NEW_IN_2025,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,EDUCATIONAL POLICY AND PLANNING,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,PHILOSOPHY AND RELIGION,NEW_IN_2025,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,TRADE IN MANUFACTURES; BARRIERS TO TRADE,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,TRANSPORT POLICY AND PLANNING,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMMUNICATION AND MASS MEDIA,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CONSUMERS AND COOPERATIVES,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,FOOD AND NUTRITION,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,SPECIAL CATEGORIES OF WORKERS,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMMODITIES,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CRIME AND CRIMINAL JUSTICE,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CROP MANAGEMENT,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,EMPLOYMENT PROMOTION AND PLANNING,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,FORESTRY,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,GEOGRAPHY,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,HOUSING,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LAND FORMS AND ECOSYSTEMS,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LAND TRANSPORT,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LANGUAGE,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LAW OF WAR,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"LEISURE, RECREATION AND SPORTS",NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,MONETARY ISSUES,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,PERSONS WITH DISABILITIES,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,PSYCHOLOGY,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,SETTLEMENT PLANNING,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,SPECIAL ECONOMIC AREAS,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,STATISTICS,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,TELECOMMUNICATIONS,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
